,Ensemble,Equity,Bonds,60/40
2016 Global Growth Slowdown,18.827632948515728,-2.8994596680817164,26.437429537767997,8.68346881329105
COVID-19 Pandemic,42.328671571518186,4.554061426875244,184.17159763313688,68.65257323142615
2022 Inflationary Shock,38.036691043220515,25.429508333900653,-57.798401649909394,-12.512512112460394
