Strategy,CAGR,Volatility,Sharpe,Max DD
Time Series,0.0%,0.0%,0.00,0.0%
Cross Sectional,0.0%,0.0%,0.00,0.0%
Risk Parity,6.5%,10.2%,0.44,-24.0%
Ensemble,0.0%,0.0%,0.00,0.0%
S&P 500,10.2%,17.9%,0.46,-33.9%
US 10Y,6.7%,47.5%,0.10,-84.2%
