,Ensemble,Equity,Bonds,60/40
Ensemble,1.0,-0.0409989478924755,-0.06496212017739296,-0.06738706822209353
Equity,-0.0409989478924755,1.0,0.3478261474013697,0.7046554268645661
Bonds,-0.06496212017739296,0.3478261474013697,1.0,0.9012633228646256
60/40,-0.06738706822209353,0.7046554268645661,0.9012633228646256,1.0
