,Ensemble,Equity,Bonds,60/40
2016 Global Growth Slowdown,-16.501640959390407,-7.124055531535478,-3.03939499647492,-5.50025937204921
COVID-19 Pandemic,-11.68832069789424,-7.092509601301511,-3.0932793812216697,-5.50298731237514
2022 Inflationary Shock,-12.955047449831113,-15.100191996460154,-6.793133288095932,-11.847260406829163
