Strategy,CAGR,Volatility,Sharpe,Max DD
Time Series,2.3%,3.1%,0.16,-4.7%
Cross Sectional,2.4%,3.5%,0.16,-5.5%
Risk Parity,6.6%,9.8%,0.47,-20.7%
Ensemble,6.9%,9.8%,0.49,-20.5%
S&P 500,9.9%,17.3%,0.46,-33.8%
US 10Y,5.9%,35.6%,0.15,-64.5%
