,CAGR,Annualized Vol,Sharpe Ratio,Max Drawdown,Corr to Equity,Corr to Bonds
Time Series,128.9%,11.0%,7.77,-3.6%,0.024369449107261,-0.011668154006913314
Cross Sectional,87.5%,10.9%,5.97,-7.3%,0.05311441294294838,0.054770539591427615
Inverse Vol,6.8%,10.7%,0.69,-28.3%,0.035461171854990564,0.0450184233612271
Optimized,126.2%,11.3%,7.50,-4.8%,-0.00466689748875419,-0.026959088649332056
Ensemble,128.0%,10.9%,7.86,-5.8%,0.03547338986470265,0.02204517991148389
