,CAGR,Annualized Vol,Sharpe Ratio,Max Drawdown,Corr to Equity,Corr to Bonds
Ensemble,0.10922898005758186,0.09999847592632043,1.036667413659485,-0.15501506942506837,-0.04099894789247535,-0.0649621201773931
Equity,-0.07956472381416879,0.18204003781365602,-0.45544153656969266,-0.702302189887924,,0.3478261474013702
Bonds,0.04743470363406321,0.4780788288631926,0.09693806259638515,-0.8973947895791561,0.3478261474013702,
60/40,-0.0382623074557954,0.249310416701395,-0.1564857773955038,-0.7041575246870206,0.7046554268645653,0.9012633228646277
