,VaR 95%,CVaR 95%,VaR 99%,CVaR 99%
Ensemble,-0.5919822733708628,-1.0927289767096342,-1.1438640437697287,-2.3082246427322235
Equity,-1.6569251649260888,-2.111610474212432,-2.4071738182094515,-2.8000108356285542
Bonds,-0.6873986906931887,-0.8746220533405066,-0.9963246067510436,-1.1580810256883214
60/40,-1.269114575232929,-1.616815105863662,-1.842834133626088,-2.1432389116524613
