,Ensemble,Equity,Bonds,60/40
2016 Global Growth Slowdown,119.88276948714673,111.03488658542572,103.91618202175567,108.2042701514094
COVID-19 Pandemic,142.7900791322253,109.55169715387476,103.31320332844605,107.0748349766304
2022 Inflationary Shock,140.23552250650243,105.51135583679259,101.23601568065294,103.9062434428404
