Date,Front,Next
2016-02-12,1239.4,1208.2
2016-02-15,1208.2,1211.4
2016-02-17,1211.4,1226.3
2016-02-18,1226.3,1230.8
2016-02-19,1230.8,1210.1
2016-02-22,1210.1,1222.6
2016-02-23,1222.6,1239.1
2016-02-24,1239.1,1238.8
2016-02-25,1238.8,1220.4
2016-02-26,1220.4,1234.4
2016-02-29,1234.4,1230.8
2016-03-01,1230.8,1241.8
2016-03-02,1241.8,1258.2
2016-03-03,1258.2,1270.7
2016-03-04,1270.7,1264.0
2016-03-07,1264.0,1262.9
2016-03-08,1262.9,1257.4
2016-03-09,1257.4,1272.8
2016-03-10,1272.8,1259.4
2016-03-11,1259.4,1245.1
2016-03-14,1245.1,1231.0
2016-03-15,1231.0,1229.8
2016-03-16,1229.8,1265.0
2016-03-17,1265.0,1254.3
2016-03-18,1254.3,1244.2
2016-03-21,1244.2,1248.6
2016-03-22,1248.6,1224.0
2016-03-23,1224.0,1221.6
2016-03-24,1221.6,1220.1
2016-03-28,1220.1,1235.8
2016-03-29,1235.8,1228.6
2016-03-30,1228.6,1235.6
2016-03-31,1235.6,1223.5
2016-04-01,1223.5,1219.3
2016-04-04,1219.3,1229.6
2016-04-05,1229.6,1223.8
2016-04-06,1223.8,1237.5
2016-04-07,1237.5,1243.8
2016-04-08,1243.8,1258.0
2016-04-11,1258.0,1260.9
2016-04-12,1260.9,1248.3
2016-04-13,1248.3,1226.5
2016-04-14,1226.5,1234.6
2016-04-15,1234.6,1235.0
2016-04-18,1235.0,1254.3
2016-04-19,1254.3,1254.4
2016-04-20,1254.4,1250.3
2016-04-21,1250.3,1230.0
2016-04-22,1230.0,1240.2
2016-04-25,1240.2,1243.4
2016-04-26,1243.4,1250.4
2016-04-27,1250.4,1266.4
2016-04-28,1266.4,1290.5
2016-04-29,1290.5,1295.8
2016-05-02,1295.8,1291.8
2016-05-03,1291.8,1274.4
2016-05-04,1274.4,1272.3
2016-05-05,1272.3,1294.0
2016-05-06,1294.0,1266.6
2016-05-09,1266.6,1264.8
2016-05-10,1264.8,1275.5
2016-05-11,1275.5,1271.2
2016-05-12,1271.2,1272.7
2016-05-13,1272.7,1274.2
2016-05-16,1274.2,1276.9
2016-05-17,1276.9,1274.4
2016-05-18,1274.4,1254.8
2016-05-19,1254.8,1252.9
2016-05-20,1252.9,1251.5
2016-05-23,1251.5,1229.2
2016-05-24,1229.2,1223.8
2016-05-25,1223.8,1220.4
2016-05-26,1220.4,1216.7
2016-05-27,1216.7,1217.5
2016-05-30,1217.5,1214.7
2016-06-01,1214.7,1212.6
2016-06-02,1212.6,1242.9
2016-06-03,1242.9,1247.4
2016-06-06,1247.4,1247.0
2016-06-07,1247.0,1262.3
2016-06-08,1262.3,1272.7
2016-06-09,1272.7,1275.9
2016-06-10,1275.9,1286.9
2016-06-13,1286.9,1288.1
2016-06-14,1288.1,1288.3
2016-06-15,1288.3,1298.4
2016-06-16,1298.4,1294.8
2016-06-17,1294.8,1292.1
2016-06-20,1292.1,1272.5
2016-06-21,1272.5,1270.0
2016-06-22,1270.0,1263.1
2016-06-23,1263.1,1322.4
2016-06-24,1322.4,1324.7
2016-06-27,1324.7,1317.9
2016-06-28,1317.9,1326.9
