,CAGR,Volatility,Sharpe,Max DD
Ensemble,0.07772030155398357,0.10640506892988624,0.5424581942803622,-0.26198279070088726
S&P 500,0.10155050420689293,0.17896371250756313,0.45568178634786954,-0.33925934676038066
US 10Y,0.06695168830683951,0.47453961924254423,0.09894155599016866,-0.841926520531028
60/40 Benchmark,0.11327867379917045,0.2476570662780557,0.3766445076694977,-0.505132595665975
