Date,Carry_Z
2015-09-14,-0.23660326063073042
2015-09-15,-0.23674598653343826
2015-09-16,-0.22669079347893414
2015-09-17,-0.23218684495185254
2015-09-18,-0.07269747180534826
2015-09-21,0.024674152455001073
2015-09-22,0.1639987879715457
2015-09-23,0.21397197490723713
2015-09-24,0.07392085526048306
2015-09-25,-0.13376671469596707
2015-09-28,-0.13020207481241108
2015-09-29,-0.018230792464715553
2015-09-30,0.11418292122995427
2015-10-01,0.09420530596903667
2015-10-02,0.15856279816141594
2015-10-05,0.2055174472103698
2015-10-06,0.1361607859070634
2015-10-07,0.2244393704483414
2015-10-08,0.20391423600110004
2015-10-09,0.18932899450140495
2015-10-12,0.17676590344322024
2015-10-13,0.10552918650934615
2015-10-14,0.1288093508891199
2015-10-15,0.1559486456565527
2015-10-16,0.22064550013431056
2015-10-19,0.1943077408987685
2015-10-20,0.21819200427150023
2015-10-21,0.28920292216422333
2015-10-22,0.3430709284523085
2015-10-23,0.3333884314053745
2015-10-26,0.4228462447754013
2015-10-27,0.46050188844432793
2015-10-28,0.3797626537404726
2015-10-29,0.34872204558185455
2015-10-30,0.33663406639091725
2015-11-02,0.2739803989427194
2015-11-03,0.27108139637331596
2015-11-04,0.232602875790425
2015-11-05,0.19470025532881396
2015-11-06,0.14952920138226097
2015-11-09,0.14877482825903213
2015-11-10,0.1610190302130977
2015-11-11,0.12057259009923343
2015-11-12,0.01464907214746279
2015-11-13,0.05610752089074263
2015-11-16,0.048461675292721974
2015-11-17,0.11783785726390635
2015-11-18,0.1341099788803218
2015-11-19,0.08120884753450623
2015-11-20,0.029207876543111782
2015-11-23,0.04003896444190545
2015-11-24,0.04793974539156984
2015-11-25,0.0016173795005129988
2015-11-30,0.046283704786844834
2015-12-01,-0.05413626302300106
2015-12-02,-0.13210355252370656
2015-12-03,-0.027755600462221443
2015-12-04,-0.05658100777750946
2015-12-07,-0.08690131821105414
2015-12-08,-0.08353688446229854
2015-12-09,-0.08048295184758299
2015-12-10,-0.15671735595032438
2015-12-11,-0.07826444878182884
2015-12-14,0.01463321115504274
2015-12-15,0.017679104595261886
2015-12-16,-0.0466624862981435
2015-12-17,-0.1916806508383583
2015-12-18,-0.1514740590814625
2015-12-21,-0.12744067655279098
2015-12-22,-0.06659285122771619
2015-12-23,-0.07877146034994166
2015-12-24,-0.08948122005886752
2015-12-28,-0.04546151519560463
2015-12-29,-0.05847979603918555
2015-12-30,-0.14952912546161873
2015-12-31,-0.16700605756246614
2016-01-04,-0.09059595081215573
2016-01-05,-0.24005389277588865
2016-01-06,-0.3116317418715576
2016-01-07,-0.3260628245661005
2016-01-08,-0.2825158828983995
2016-01-11,-0.2548738416865175
2016-01-12,-0.272286339177183
2016-01-13,-0.22025671447208056
2016-01-14,-0.3573111362375605
2016-01-15,-0.41561058185239863
2016-01-20,-0.28628637937560153
2016-01-21,-0.2341382949003639
2016-01-22,-0.3343670889931147
2016-01-25,-0.32588604921813413
2016-01-26,-0.35858822711651905
2016-01-27,-0.3196543436570503
2016-01-28,-0.2627357775658637
2016-01-29,-0.2263919102193143
2016-02-01,-0.2545977043297772
2016-02-02,-0.1607388103405684
2016-02-03,-0.16009939692638678
2016-02-04,-0.17132468487634459
2016-02-05,-0.11846618897472623
2016-02-08,-0.07032558556865728
2016-02-09,-0.07327601973949321
2016-02-10,-0.155084150092523
2016-02-11,0.03185362926236445
2016-02-12,0.02566298414900297
2016-02-17,0.15888195089577042
2016-02-18,0.20710626026556922
2016-02-19,0.23961065522103103
2016-02-22,0.10578789342197718
2016-02-23,0.18722832621222824
2016-02-24,0.1718227373487379
2016-02-25,0.2070780640315164
2016-02-26,0.1495825633706836
2016-02-29,0.1429364822203647
2016-03-01,0.15929962361486155
2016-03-02,0.24706929682347628
2016-03-03,0.23748154665045781
2016-03-04,0.23157288503583529
2016-03-07,0.25703945864138095
2016-03-08,0.3312509063795492
2016-03-09,0.33040822008074777
2016-03-10,0.39371178503062626
2016-03-11,0.4331291951975436
2016-03-14,0.344803477972403
2016-03-15,0.30041524942937886
2016-03-16,0.2617599505959505
2016-03-17,0.29570625168073356
2016-03-18,0.2965090234106816
2016-03-21,0.23315682425138973
2016-03-22,0.2521554252566978
2016-03-23,0.2304143788868205
2016-03-24,0.18607627675089441
2016-03-28,0.2290502237953805
2016-03-29,0.27735852085408924
2016-03-30,0.1718857686199095
2016-03-31,0.18077424990608268
2016-04-01,0.15061897716125014
2016-04-04,0.09100902997761658
2016-04-05,0.13175170123443866
2016-04-06,0.12344184341392574
2016-04-07,0.11242049766344257
2016-04-08,0.0973365011618128
2016-04-11,0.0710078277811627
2016-04-12,0.11844739824218636
2016-04-13,0.12430606751300141
2016-04-14,0.09406512632905797
2016-04-15,0.09351135781733869
2016-04-18,0.08607949953259728
2016-04-19,0.08236765640152258
2016-04-20,0.059457262165071204
2016-04-21,0.08469286719816567
2016-04-22,0.07493560216702681
2016-04-25,0.07900342642539068
2016-04-26,0.046725940001512964
2016-04-27,-0.01823942897610025
2016-04-28,-0.03518228634568702
2016-04-29,-0.025758656843022858
2016-05-02,-0.05602216327636325
2016-05-03,-0.042066871626584144
2016-05-04,-0.08979107236751005
2016-05-05,-0.02258421991032568
2016-05-06,-0.03268895796504766
2016-05-09,0.04043279657172698
2016-05-10,-0.05233445058702424
2016-05-11,-0.09942973669327466
2016-05-12,-0.14436720659631663
2016-05-13,-0.08928298844146183
2016-05-16,-0.16828829231033987
2016-05-17,-0.18048092230776971
2016-05-18,-0.20198676778492308
2016-05-19,-0.143982529632687
