Date,Carry_Z
2015-09-14,0.13067373125971724
2015-09-15,0.11345053690376374
2015-09-16,0.07816486468897832
2015-09-17,0.07712528382840644
2015-09-18,0.16136951886759704
2015-09-21,0.13201759092799387
2015-09-22,0.08760734327324723
2015-09-23,-0.022874356927477187
2015-09-24,0.004016261659490238
2015-09-25,-0.051975033074957336
2015-09-28,-0.11315117018997782
2015-09-29,-0.08781987197942824
2015-09-30,-0.10598521959911726
2015-10-01,-0.13373049756294872
2015-10-02,-0.10320676354462834
2015-10-05,-0.10599565543820615
2015-10-06,-0.08215193724040774
2015-10-07,-0.07278604298937139
2015-10-08,-0.04686040666118986
2015-10-09,-0.06187065244592597
2015-10-12,-0.18384994937748586
2015-10-13,-0.25258217410249956
2015-10-14,-0.1133055768867332
2015-10-15,-0.043216262402086106
2015-10-16,-0.11295484673970399
2015-10-19,-0.005509454502878123
2015-10-20,-0.06462116193279398
2015-10-21,-0.042393899577971426
2015-10-22,-0.0173178855570916
2015-10-23,0.01676638169152999
2015-10-26,0.03095228958137087
2015-10-27,0.11891085030794898
2015-10-28,0.17966915764493863
2015-10-29,0.20428126452886297
2015-10-30,0.23074592857440154
2015-11-02,0.19947945516859558
2015-11-03,0.22814989715359987
2015-11-04,0.20302742129429102
2015-11-05,0.24544333680489205
2015-11-06,0.2758010108837912
2015-11-09,0.28050690240464293
2015-11-10,0.30029630006063435
2015-11-11,0.35023552000837427
2015-11-12,0.2628145141885734
2015-11-13,0.23830337118222822
2015-11-16,0.2435698870910694
2015-11-17,0.19748039777222265
2015-11-18,0.21051546087271727
2015-11-19,0.22411727989793367
2015-11-20,0.14087978179145944
2015-11-23,0.1638763892359824
2015-11-24,0.17873480400253164
2015-11-25,0.10249217337850776
2015-11-30,-0.0548692336099145
2015-12-01,-0.05926744593280652
2015-12-02,0.07019071897400772
2015-12-03,0.01600182692918426
2015-12-04,-0.10127316474293548
2015-12-07,-0.1356902260379259
2015-12-08,-0.1334529286213218
2015-12-09,-0.10368891140897496
2015-12-10,-0.18874293554152338
2015-12-11,-0.056288989339078006
2015-12-14,-0.009322548642325713
2015-12-15,0.023823613410580532
2015-12-16,-0.05023341280140029
2015-12-17,-0.044105512214550446
2015-12-18,-0.06917548184649305
2015-12-21,-0.005605042598614549
2015-12-22,0.020190023041101648
2015-12-23,0.010211519250444553
2015-12-24,0.006350675392420717
2015-12-28,0.0817885647213861
2015-12-29,0.08013564847824772
2015-12-30,0.11897620629421982
2015-12-31,0.05584042071697957
2016-01-04,-0.08715222606407244
2016-01-05,-0.11301791498367496
2016-01-06,-0.09929209518048393
2016-01-07,-0.1204183934472819
2016-01-08,-0.04687357225019257
2016-01-11,-0.1440555825323871
2016-01-12,-0.05800585292236128
2016-01-13,-0.15131556853560973
2016-01-14,-0.251358971838033
2016-01-15,-0.27010261590798107
2016-01-20,-0.18490165820659968
2016-01-21,-0.19354759375533778
2016-01-22,-0.2705557575396201
2016-01-25,-0.2579286321826532
2016-01-26,-0.24216503100708073
2016-01-27,-0.33796570309307267
2016-01-28,-0.388746733447793
2016-01-29,-0.3270239260856917
2016-02-01,-0.41222497796033425
2016-02-02,-0.3660891400145813
2016-02-03,-0.3351454420293934
2016-02-04,-0.3122577163468359
2016-02-05,-0.3899068034890641
2016-02-08,-0.4685092728837913
2016-02-09,-0.4640845876278835
2016-02-10,-0.4544625565492287
2016-02-11,-0.34548034584682064
2016-02-12,-0.25038268061739805
2016-02-17,-0.22244628761760118
2016-02-18,-0.2610354495900293
2016-02-19,-0.2748491592431832
2016-02-22,-0.2624013510370424
2016-02-23,-0.2107564695322086
2016-02-24,-0.2540714810409802
2016-02-25,-0.16624446551206024
2016-02-26,-0.1262703836027257
2016-02-29,-0.054046698707767724
2016-03-01,0.07103267281118272
2016-03-02,0.034049931608260094
2016-03-03,0.12562487116243867
2016-03-04,0.1594426131669756
2016-03-07,0.19352518347195327
2016-03-08,0.2676895042012409
2016-03-09,0.4009981543640664
2016-03-10,0.4555123032259062
2016-03-11,0.32795240283623267
2016-03-14,0.30140339979730896
2016-03-15,0.2311324522840573
2016-03-16,0.16875286208337387
2016-03-17,0.23339637427314658
2016-03-18,0.2737098814755133
2016-03-21,0.2867492279627901
2016-03-22,0.2602565044032453
2016-03-23,0.23745876450437628
2016-03-24,0.2629099557359489
2016-03-28,0.11024793777495112
2016-03-29,0.1687711355372937
2016-03-30,-0.0024238100663690424
2016-03-31,-0.006019009395488409
2016-04-01,-0.020548590058848598
2016-04-04,-0.11799542224867134
2016-04-05,-0.10255805651349255
2016-04-06,-0.10580428388081262
2016-04-07,-0.12285882983906844
2016-04-08,-0.1771143440279108
2016-04-11,-0.15873726952692166
2016-04-12,-0.14921827400766577
2016-04-13,-0.1259038941234705
2016-04-14,-0.11150122988491268
2016-04-15,-0.07296191163529275
2016-04-18,-0.030659540597228318
2016-04-19,-0.009631089888664405
2016-04-20,-0.0175362874787749
2016-04-21,0.08273393262087302
2016-04-22,0.08281836799402545
2016-04-25,0.11914001624925666
2016-04-26,0.1211158390979108
2016-04-27,0.059611062355393235
2016-04-28,0.1383619528528039
2016-04-29,0.1731151595262856
2016-05-02,0.09899654695715612
2016-05-03,0.12589071384799488
2016-05-04,0.03690531440268321
2016-05-05,0.16531234011729523
2016-05-06,0.09264729131206892
2016-05-09,0.08799182907311827
2016-05-10,-0.0009717107470309305
2016-05-11,0.025865574155648184
2016-05-12,-0.06212365545765888
2016-05-13,0.050568043918053265
2016-05-16,0.046325001769204094
2016-05-17,0.12650204941126725
