,CAGR,Annualized Vol,Sharpe Ratio,Max Drawdown
Time Series,31.1%,10.6%,2.32,-9.5%
Cross Sectional,1.2%,5.2%,-5.57,-7.7%
Inverse Vol,5.7%,9.1%,0.42,-17.7%
Optimized,5.5%,8.3%,0.43,-12.4%
Ensemble,13.1%,6.0%,2.05,-5.4%
S&P 500,-5.0%,17.7%,-0.32,-59.2%
US 10Y,-5.0%,36.3%,0.09,-68.7%
